organism	domain	temperature
Acutalibacter muris	Bacteria	37.0
Acuticoccus yangtzensis	Bacteria	30.0
Adhaeribacter aerolatus	Bacteria	23.0
Adhaeribacter aerophilus	Bacteria	24.0
Adhaeribacter aquaticus	Bacteria	30.0
Adhaeribacter sp.	Bacteria	28.0
Adhaeribacter sp.	Bacteria	30.0
Adhaeribacter swui	Bacteria	28.0
Adhaeribacter terrae	Bacteria	23.0
Adhaeribacter terreus	Bacteria	25.0
Adlercreutzia caecicola	Bacteria	37.0
Adlercreutzia caecimuris	Bacteria	37.0
Adlercreutzia equolifaciens	Bacteria	37.0
Adlercreutzia mucosicola	Bacteria	37.0
Adlercreutzia muris	Bacteria	37.0
Advenella alkanexedens	Bacteria	28.0
Advenella faeciporci	Bacteria	30.0
Advenella incenata	Bacteria	34.0
Advenella incenata	Bacteria	37.0
Advenella kashmirensis	Bacteria	28.0
Advenella kashmirensis	Bacteria	30.0
Advenella mimigardefordensis	Bacteria	28.0
Aequorivita aestuarii	Bacteria	26.0
Aequorivita antarctica	Bacteria	20.0
Aequorivita capsosiphonis	Bacteria	25.0
Aequorivita crocea	Bacteria	20.0
Aequorivita lipolytica	Bacteria	20.0
Aequorivita sp.	Bacteria	20.0
Aequorivita sublithincola	Bacteria	6.0
Aequorivita viscosa	Bacteria	28.0
Aequorivita vladivostokensis	Bacteria	25.0
Aeribacillus composti	Bacteria	58.0
Aeribacillus pallidus	Bacteria	45.0
Aeribacillus pallidus	Bacteria	50.0
Aeribacillus pallidus	Bacteria	55.0
Aeribacillus pallidus	Bacteria	60.0
Aeribacillus sp.	Bacteria	60.0
Aeriscardovia aeriphila	Bacteria	37.0
Aerococcus christensenii	Bacteria	37.0
Aerococcus sanguinicola	Bacteria	30.0
Aerococcus sanguinicola	Bacteria	37.0
Aerococcus sp.	Bacteria	28.0
Aerococcus suis	Bacteria	37.0
Aerococcus urinae	Bacteria	30.0
Aerococcus urinae	Bacteria	37.0
Aerococcus urinaeequi	Bacteria	30.0
Aerococcus urinaeequi	Bacteria	34.0
Aerococcus urinaeequi	Bacteria	37.0
Aerococcus urinaehominis	Bacteria	37.0
Aerococcus vaginalis	Bacteria	30.0
Aerococcus viridans	Bacteria	30.0
Aerococcus viridans	Bacteria	37.0
Aeromicrobium alkaliterrae	Bacteria	28.0
Aeromicrobium camelliae	Bacteria	28.0
Aeromicrobium choanae	Bacteria	24.0
Aeromicrobium erythreum	Bacteria	37.0
Aeromicrobium fastidiosum	Bacteria	28.0
Aeromicrobium flavum	Bacteria	28.0
Aeromicrobium ginsengisoli	Bacteria	28.0
Aeromicrobium halocynthiae	Bacteria	25.0
Aeromicrobium halotolerans	Bacteria	28.0
Aeromicrobium marinum	Bacteria	28.0
Aeromicrobium massiliense	Bacteria	28.0
Aeromicrobium panacisoli	Bacteria	28.0
Aeromicrobium panaciterrae	Bacteria	28.0
Aeromicrobium ponti	Bacteria	28.0
Aeromicrobium sp.	Bacteria	20.0
Aeromicrobium sp.	Bacteria	28.0
Aeromicrobium sp.	Bacteria	30.0
Aeromicrobium tamlense	Bacteria	28.0
Aeromonas allosaccharophila	Bacteria	28.0
Aeromonas aquatica	Bacteria	28.0
Aeromonas australiensis	Bacteria	28.0
Aeromonas bestiarum	Bacteria	30.0
Aeromonas bivalvium	Bacteria	28.0
Aeromonas caviae	Bacteria	28.0
Aeromonas caviae	Bacteria	30.0
Aeromonas caviae	Bacteria	34.0
Aeromonas caviae	Bacteria	37.0
Aeromonas dhakensis	Bacteria	28.0
Aeromonas dhakensis	Bacteria	30.0
Aeromonas dhakensis	Bacteria	37.0
Aeromonas diversa	Bacteria	37.0
Aeromonas encheleia	Bacteria	28.0
Aeromonas encheleia	Bacteria	30.0
Aeromonas enteropelogenes	Bacteria	28.0
Aeromonas enteropelogenes	Bacteria	30.0
Aeromonas eucrenophila	Bacteria	30.0
Aeromonas eucrenophila	Bacteria	37.0
Aeromonas finlandensis	Bacteria	28.0
Aeromonas fluvialis	Bacteria	28.0
Aeromonas hydrophila	Bacteria	28.0
Aeromonas hydrophila	Bacteria	30.0
Aeromonas hydrophila	Bacteria	34.0
Aeromonas hydrophila	Bacteria	37.0
Aeromonas hydrophila	None	30.0
Aeromonas ichthiosmia	Bacteria	30.0
Aeromonas jandaei	Bacteria	28.0
Aeromonas jandaei	Bacteria	37.0
Aeromonas lacus	Bacteria	28.0
Aeromonas lusitana	Bacteria	28.0
Aeromonas media	Bacteria	30.0
Aeromonas media	Bacteria	4.0
Aeromonas molluscorum	Bacteria	28.0
Aeromonas piscicola	Bacteria	28.0
Aeromonas piscicola	Bacteria	30.0
Aeromonas popoffii	Bacteria	28.0
Aeromonas popoffii	Bacteria	37.0
Aeromonas rivipollensis	Bacteria	28.0
Aeromonas rivuli	Bacteria	28.0
Aeromonas salmonicida	Bacteria	16.0
Aeromonas salmonicida	Bacteria	20.0
Aeromonas salmonicida	Bacteria	25.0
Aeromonas salmonicida	Bacteria	28.0
Aeromonas salmonicida	Bacteria	30.0
Aeromonas sanarellii	Bacteria	28.0
Aeromonas schubertii	Bacteria	22.0
Aeromonas simiae	Bacteria	30.0
Aeromonas sobria	Bacteria	28.0
Aeromonas sobria	Bacteria	30.0
Aeromonas sobria	Bacteria	37.0
Aeromonas sp.	Bacteria	28.0
Aeromonas sp.	Bacteria	30.0
Aeromonas taiwanensis	Bacteria	28.0
Aeromonas tecta	Bacteria	30.0
Aeromonas veronii	Bacteria	30.0
Aeromonas veronii	Bacteria	37.0
Aeropyrum camini	Archaea	85.0
Aeropyrum pernix	Archaea	90.0
Aerosphaera taetra	None	37.0
Aestuariibacter aggregatus	Bacteria	28.0
Aestuariibacter halophilus	Bacteria	40.0
Aestuariibacter salexigens	Bacteria	35.0
Aestuariibaculum suncheonense	Bacteria	23.0
Aestuariibius insulae	Bacteria	28.0
Aestuariicoccus marinus	Bacteria	28.0
Aestuariihabitans beolgyonensis	Bacteria	30.0
Aestuariimicrobium kwangyangense	Bacteria	28.0
Aestuariimicrobium soli	Bacteria	28.0
Aestuariimonas insulae	Bacteria	25.0
Aetherobacter fasciculatus	Bacteria	23.0
Aetherobacter rufus	Bacteria	23.0
Afifella marina	Bacteria	25.0
Afifella pfennigii	Bacteria	28.0
Afifella sp.	Bacteria	30.0
Afipia birgiae	Bacteria	28.0
Afipia broomeae	Bacteria	28.0
Afipia broomeae	Bacteria	30.0
Afipia clevelandensis	Bacteria	28.0
Afipia felis	Bacteria	28.0
Afipia felis	Bacteria	30.0
Afipia lausannensis	Bacteria	28.0
Afipia massiliensis	Bacteria	28.0
Afipia quartiernordensis	None	37.0
Afipia saintantoinensis	None	30.0
Afipia sp.	Bacteria	28.0
Afipia sp.	Bacteria	30.0
Afipia sp.	Bacteria	37.0
Agaribacterium haliotis	Bacteria	28.0
Agaricicola taiwanensis	Bacteria	28.0
Agaricicola taiwanensis	Bacteria	30.0
Agarilytica rhodophyticola	Bacteria	31.0
Agarivorans aestuarii	Bacteria	20.0
Agarivorans albus	Bacteria	37.0
Agarivorans gilvus	Bacteria	28.0
Agarivorans litoreus	Bacteria	28.0
Agarivorans sp.	Bacteria	28.0
Agathobacter rectalis	Bacteria	37.0
Agathobacter ruminis	Bacteria	35.0
Agathobaculum butyriciproducens	Bacteria	37.0
Agathobaculum desmolans	Bacteria	37.0
Aggregatibacter actinomycetemcomitans	Bacteria	37.0
Aggregatibacter aphrophilus	Bacteria	37.0
Aggregatibacter kilianii	Bacteria	37.0
Aggregatibacter segnis	Bacteria	37.0
Aggregatibacter simiae	None	37.0
Aggregicoccus edonensis	Bacteria	28.0
Agitococcus lubricus	Bacteria	28.0
Agreia bicolorata	Bacteria	28.0
Agreia pratensis	Bacteria	28.0
Agreia sp.	Bacteria	25.0
Agreia sp.	Bacteria	28.0
Agrobacterium agile	Bacteria	26.0
Agrobacterium larrymoorei	Bacteria	30.0
Agrobacterium luteum	Bacteria	26.0
Agrobacterium nepotum	Bacteria	30.0
Agrobacterium pusense	Bacteria	28.0
Agrobacterium radiobacter	Bacteria	25.0
Agrobacterium radiobacter	Bacteria	26.0
Agrobacterium radiobacter	Bacteria	28.0
Agrobacterium radiobacter	Bacteria	30.0
Agrobacterium radiobacter	Bacteria	34.0
Agrobacterium radiobacter	Bacteria	37.0
Agrobacterium rosae	Bacteria	26.0
Agrobacterium rubi	Bacteria	30.0
Agrobacterium salinitolerans	Bacteria	28.0
Agrobacterium skierniewicense	Bacteria	30.0
Agrobacterium sp.	Bacteria	22.0
Agrobacterium sp.	Bacteria	23.0
Agrobacterium sp.	Bacteria	27.0
Agrobacterium sp.	Bacteria	28.0
Agrobacterium sp.	Bacteria	30.0
Agrococcus baldri	Bacteria	28.0
Agrococcus carbonis	Bacteria	28.0
Agrococcus casei	Bacteria	28.0
Agrococcus citreus	Bacteria	28.0
Agrococcus jejuensis	Bacteria	28.0
Agrococcus jenensis	Bacteria	28.0
Agrococcus lahaulensis	Bacteria	28.0
Agrococcus lahaulensis	Bacteria	37.0
Agrococcus sp.	Bacteria	28.0
Agrococcus terreus	Bacteria	28.0
Agrococcus versicolor	Bacteria	28.0
Agromyces albus	Bacteria	24.0
Agromyces allii	Bacteria	28.0
Agromyces allii	Bacteria	30.0
Agromyces atrinae	Bacteria	28.0
Agromyces aurantiacus	Bacteria	28.0
Agromyces aureus	Bacteria	28.0
Agromyces bauzanensis	Bacteria	28.0
Agromyces binzhouensis	Bacteria	24.0
Agromyces bracchium	Bacteria	28.0
Agromyces cerinus	Bacteria	28.0
Agromyces cerinus	Bacteria	30.0
Agromyces flavus	Bacteria	28.0
Agromyces fucosus	Bacteria	28.0
Agromyces hippuratus	Bacteria	28.0
Agromyces humatus	Bacteria	28.0
Agromyces indicus	Bacteria	28.0
Agromyces insulae	Bacteria	24.0
Agromyces iriomotensis	Bacteria	28.0
Agromyces italicus	Bacteria	28.0
Agromyces lapidis	Bacteria	28.0
Agromyces luteolus	Bacteria	28.0
Agromyces marinus	Bacteria	28.0
Agromyces mediolanus	Bacteria	28.0
Agromyces mediolanus	Bacteria	30.0
Agromyces mediolanus	Bacteria	37.0
Agromyces neolithicus	Bacteria	28.0
Agromyces ramosus	Bacteria	28.0
Agromyces rhizospherae	Bacteria	28.0
Agromyces salentinus	Bacteria	28.0
Agromyces soli	Bacteria	28.0
Agromyces sp.	Bacteria	28.0
Agromyces subbeticus	Bacteria	28.0
Agromyces subtropicus	Bacteria	28.0
Agromyces terreus	Bacteria	25.0
Agromyces tropicus	Bacteria	28.0
Agromyces ulmi	Bacteria	28.0
Ahrensia kielensis	Bacteria	26.0
Ahrensia marina	Bacteria	24.0
Aidingimonas halophila	Bacteria	28.0
Aidingimonas halophila	Bacteria	37.0
Aidingimonas sp.	Bacteria	37.0
Akkermansia glycaniphila	Bacteria	28.0
Akkermansia muciniphila	Bacteria	37.0
Albibacter helveticus	Bacteria	28.0
Albibacter helveticus	Bacteria	30.0
Albibacter methylovorans	Bacteria	28.0
Albidiferax ferrireducens	Bacteria	25.0
Albidovulum inexpectatum	Bacteria	50.0
Albidovulum sp.	Bacteria	55.0
Albidovulum xiamenense	Bacteria	55.0
Albimonas donghaensis	Bacteria	33.0
Albimonas pacifica	Bacteria	25.0
Albirhodobacter confluentis	Bacteria	20.0
Alcaligenes aquatilis	Bacteria	20.0
Alcaligenes endophyticus	Bacteria	28.0
Alcaligenes faecalis	Bacteria	24.0
Alcaligenes faecalis	Bacteria	25.0
Alcaligenes faecalis	Bacteria	30.0
Alcaligenes faecalis	Bacteria	34.0
Alcaligenes faecalis	Bacteria	36.0
Alcaligenes faecalis	Bacteria	37.0
Alcaligenes sp.	Bacteria	30.0
Alcaligenes tolerans	None	30.0
Alcanivorax balearicus	Bacteria	28.0
Alcanivorax borkumensis	Bacteria	28.0
Alcanivorax dieselolei	Bacteria	28.0
Alcanivorax dieselolei	Bacteria	30.0
Alcanivorax dieselolei	Bacteria	37.0
Alcanivorax hongdengensis	Bacteria	26.0
Alcanivorax jadensis	Bacteria	25.0
Alcanivorax marinus	Bacteria	26.0
Alcanivorax mobilis	Bacteria	26.0
Alcanivorax sp.	Bacteria	25.0
Alcanivorax sp.	Bacteria	28.0
Alcanivorax venustensis	Bacteria	25.0
Alcanivorax venustensis	Bacteria	30.0
Alcanivorax xenomutans	Bacteria	30.0
Aldersonia kunmingensis	Bacteria	28.0
Algibacter agarilyticus	Bacteria	20.0
Algibacter agarivorans	Bacteria	19.0
Algibacter alginicilyticus	Bacteria	28.0
Algibacter amylolyticus	Bacteria	25.0
Algibacter aquaticus	Bacteria	18.0
Algibacter aquimarinus	Bacteria	17.0
Algibacter lectus	Bacteria	25.0
Algibacter mikhailovii	Bacteria	21.0
Algibacter pectinivorans	Bacteria	25.0
Algibacter undariae	Bacteria	20.0
Algibacter wandonensis	Bacteria	20.0
Algicola bacteriolytica	Bacteria	22.0
Algicola sagamiensis	Bacteria	28.0
Algimonas ampicilliniresistens	Bacteria	20.0
Algimonas porphyrae	Bacteria	20.0
Algiphilus aromaticivorans	Bacteria	28.0
Algisphaera agarilytica	Bacteria	28.0
Algoriphagus aestuariicola	Bacteria	28.0
Algoriphagus alkaliphilus	Bacteria	28.0
Algoriphagus antarcticus	Bacteria	20.0
Algoriphagus aquaeductus	Bacteria	28.0
Algoriphagus aquaemixtae	Bacteria	25.0
Algoriphagus aquatilis	Bacteria	29.0
Algoriphagus aquimarinus	Bacteria	28.0
Algoriphagus boritolerans	Bacteria	28.0
Algoriphagus chordae	Bacteria	25.0
Algoriphagus chungangensis	Bacteria	28.0
Algoriphagus confluentis	Bacteria	25.0
Algoriphagus faecimaris	Bacteria	37.0
Algoriphagus halophilus	Bacteria	35.0
Algoriphagus hitonicola	Bacteria	37.0
Algoriphagus iocasae	Bacteria	21.0
Algoriphagus jejuensis	Bacteria	17.0
Algoriphagus litorisediminis	Bacteria	20.0
Algoriphagus locisalis	Bacteria	28.0
Algoriphagus lutimaris	Bacteria	22.0
Algoriphagus machipongonensis	Bacteria	28.0
Algoriphagus mannitolivorans	Bacteria	37.0
Algoriphagus marincola	Bacteria	34.0
Algoriphagus marinus	Bacteria	33.0
Algoriphagus marisflavi	Bacteria	30.0
Algoriphagus namhaensis	Bacteria	25.0
Algoriphagus olei	Bacteria	24.0
Algoriphagus olei	Bacteria	28.0
Algoriphagus ornithinivorans	Bacteria	37.0
Algoriphagus ratkowskyi	Bacteria	28.0
Algoriphagus resistens	Bacteria	25.0
Algoriphagus roseus	Bacteria	28.0
Algoriphagus sp.	Bacteria	20.0
Algoriphagus terrigena	Bacteria	25.0
Algoriphagus trabzonensis	Bacteria	28.0
Algoriphagus vanfongensis	Bacteria	28.0
Algoriphagus winogradskyi	Bacteria	25.0
Algoriphagus yeomjeoni	Bacteria	28.0
Algoriphagus zhangzhouensis	Bacteria	28.0
Aliagarivorans marinus	Bacteria	28.0
Aliagarivorans taiwanensis	Bacteria	28.0
Alicycliphilus denitrificans	Bacteria	28.0
Alicyclobacillus acidiphilus	Bacteria	45.0
Alicyclobacillus acidocaldarius	Bacteria	55.0
Alicyclobacillus acidocaldarius	Bacteria	60.0
Alicyclobacillus acidoterrestris	Bacteria	45.0
Alicyclobacillus aeris	Bacteria	30.0
Alicyclobacillus cellulosilyticus	Bacteria	55.0
Alicyclobacillus contaminans	Bacteria	55.0
Alicyclobacillus cycloheptanicus	Bacteria	45.0
Alicyclobacillus dauci	Bacteria	40.0
Alicyclobacillus disulfidooxidans	Bacteria	35.0
Alicyclobacillus fastidiosus	Bacteria	45.0
Alicyclobacillus ferrooxydans	Bacteria	30.0
Alicyclobacillus herbarius	Bacteria	55.0
Alicyclobacillus hesperidum	Bacteria	50.0
Alicyclobacillus kakegawensis	Bacteria	50.0
Alicyclobacillus macrosporangiidus	Bacteria	50.0
Alicyclobacillus montanus	Bacteria	40.0
Alicyclobacillus pomorum	Bacteria	45.0
Alicyclobacillus sacchari	Bacteria	50.0
Alicyclobacillus sendaiensis	Bacteria	50.0
Alicyclobacillus shizuokensis	Bacteria	50.0
Alicyclobacillus sp.	Bacteria	45.0
Alicyclobacillus sp.	Bacteria	55.0
Alicyclobacillus sp.	Bacteria	60.0
Alicyclobacillus tengchongensis	Bacteria	50.0
Alicyclobacillus vulcanalis	Bacteria	55.0
Aliibacillus thermotolerans	Bacteria	50.0
Aliicoccus persicus	Bacteria	37.0
Aliidiomarina haloalkalitolerans	Bacteria	28.0
Aliidiomarina iranensis	Bacteria	25.0
Aliidiomarina maris	Bacteria	28.0
Aliidiomarina sedimenti	Bacteria	34.0
Aliidiomarina soli	Bacteria	25.0
Aliidiomarina taiwanensis	Bacteria	25.0
Aliidongia dinghuensis	Bacteria	24.0
Aliifodinibius halophilus	Bacteria	33.0
Aliifodinibius roseus	Bacteria	28.0
Aliifodinibius salicampi	Bacteria	33.0
Aliifodinibius sediminis	Bacteria	28.0
Aliifodinibius sp.	Bacteria	28.0
Aliiglaciecola lipolytica	Bacteria	20.0
Aliiglaciecola litoralis	Bacteria	22.0
Aliihoeflea aestuarii	Bacteria	28.0
Aliihoeflea sp.	Bacteria	28.0
Aliiroseovarius crassostreae	Bacteria	28.0
Aliiroseovarius halocynthiae	Bacteria	30.0
Aliiroseovarius sediminilitoris	Bacteria	30.0
Aliivibrio finisterrensis	Bacteria	28.0
Aliivibrio fischeri	Bacteria	20.0
Aliivibrio fischeri	Bacteria	22.0
Aliivibrio fischeri	Bacteria	26.0
Aliivibrio fischeri	Bacteria	30.0
Aliivibrio logei	Bacteria	15.0
Aliivibrio salmonicida	Bacteria	15.0
Aliivibrio sifiae	Bacteria	20.0
Aliivibrio wodanis	Bacteria	15.0
Alishewanella aestuarii	Bacteria	28.0
Alishewanella agri	Bacteria	28.0
Alishewanella fetalis	Bacteria	35.0
Alishewanella jeotgali	Bacteria	28.0
Alishewanella tabrizica	Bacteria	28.0
Alistipes finegoldii	Bacteria	37.0
Alistipes ihumii	Bacteria	37.0
Alistipes indistinctus	Bacteria	37.0
Alistipes inops	Bacteria	30.0
Alistipes onderdonkii	Bacteria	37.0
Alistipes putredinis	Bacteria	37.0
Alistipes senegalensis	Bacteria	37.0
Alistipes shahii	Bacteria	37.0
Alistipes sp.	Bacteria	37.0
Alistipes timonensis	Bacteria	37.0
Alkalibacillus almallahensis	Bacteria	30.0
Alkalibacillus filiformis	Bacteria	37.0
Alkalibacillus flavidus	Bacteria	35.0
Alkalibacillus haloalkaliphilus	Bacteria	30.0
Alkalibacillus halophilus	Bacteria	30.0
Alkalibacillus salilacus	Bacteria	30.0
Alkalibacillus silvisoli	Bacteria	30.0
Alkalibacter saccharofermentans	Bacteria	35.0
Alkalibacterium gilvum	Bacteria	30.0
Alkalibacterium iburiense	Bacteria	25.0
Alkalibacterium indicireducens	Bacteria	28.0
Alkalibacterium kapii	Bacteria	28.0
Alkalibacterium olivapovliticus	Bacteria	25.0
Alkalibacterium pelagium	Bacteria	28.0
Alkalibacterium psychrotolerans	Bacteria	25.0
Alkalibacterium putridalgicola	Bacteria	28.0
Alkalibacterium subtropicum	Bacteria	30.0
Alkalibacterium thalassium	Bacteria	28.0
Alkalibaculum bacchi	Bacteria	37.0
Alkalicoccus halolimnae	None	33.0
Alkalicoccus saliphilus	None	37.0
Alkaliflexus imshenetskii	Bacteria	30.0
Alkalilactibacillus ikkensis	Bacteria	15.0
Alkalilimnicola ehrlichii	Bacteria	30.0
Alkalilimnicola halodurans	Bacteria	37.0
Alkalilimnicola sp.	Bacteria	25.0
Alkalimonas amylolytica	Bacteria	37.0
Alkalimonas collagenimarina	Bacteria	21.0
Alkalimonas delamerensis	Bacteria	37.0
Alkaliphilus halophilus	Bacteria	30.0
Alkaliphilus hydrothermalis	Bacteria	37.0
Alkaliphilus namsaraevii	Bacteria	30.0
Alkaliphilus oremlandii	Bacteria	37.0
Alkaliphilus peptidifermentans	Bacteria	35.0
Alkaliphilus transvaalensis	Bacteria	37.0
Alkalispirillum mobile	Bacteria	37.0
Alkalispirochaeta alkalica	Bacteria	37.0
Alkalispirochaeta americana	Bacteria	37.0
Alkalispirochaeta cellulosivorans	Bacteria	34.0
Alkalispirochaeta sphaeroplastigenens	Bacteria	28.0
Alkalitalea saponilacus	Bacteria	35.0
Alkanibacter difficilis	Bacteria	30.0
Alkanindiges hongkongensis	Bacteria	37.0
Alkanindiges illinoisensis	Bacteria	28.0
Allisonella histaminiformans	Bacteria	37.0
Allobacillus halotolerans	Bacteria	33.0
Allobaculum stercoricanis	Bacteria	37.0
Allobranchiibius huperziae	Bacteria	21.0
Allocatelliglobosispora scoriae	Bacteria	28.0
Allochromatium humboldtianum	Bacteria	30.0
Allochromatium minutissimum	Bacteria	25.0
Allochromatium palmeri	Bacteria	28.0
Allochromatium phaeobacterium	Bacteria	28.0
Allochromatium renukae	Bacteria	28.0
Allochromatium sp.	Bacteria	25.0
Allochromatium vinosum	Bacteria	25.0
Allochromatium warmingii	Bacteria	20.0
Allochromatium warmingii	Bacteria	25.0
Allofrancisella frigidaquae	Bacteria	28.0
Allofrancisella guangzhouensis	Bacteria	30.0
Allofrancisella inopinata	Bacteria	28.0
Allofustis seminis	Bacteria	37.0
Allohahella antarctica	Bacteria	14.0
Allohahella marinimesophila	Bacteria	21.0
Allohumibacter endophyticus	Bacteria	26.0
Alloiococcus otitis	Bacteria	37.0
Allokutzneria albata	Bacteria	28.0
Allokutzneria albata	Bacteria	30.0
Allokutzneria multivorans	Bacteria	28.0
Allonocardiopsis opalescens	None	28.0
Alloprevotella rava	Bacteria	37.0
Alloprevotella tannerae	Bacteria	37.0
Allorhizobium borbori	Bacteria	30.0
Allorhizobium oryzae	Bacteria	25.0
Allorhizobium pseudoryzae	Bacteria	28.0
Allorhizobium pseudoryzae	Bacteria	30.0
Allorhizobium undicola	Bacteria	30.0
Allorhizobium vitis	Bacteria	26.0
Allorhizobium vitis	Bacteria	28.0
Allorhizobium vitis	Bacteria	30.0
Allosalinactinospora lopnorensis	Bacteria	37.0
Alloscardovia criceti	Bacteria	37.0
Alloscardovia macacae	Bacteria	37.0
Alloscardovia omnicolens	Bacteria	37.0
Alloscardovia venturai	Bacteria	35.0
Allostreptomyces psammosilenae	Bacteria	30.0
Alpinimonas psychrophila	Bacteria	15.0
Altererythrobacter aerius	Bacteria	27.0
Altererythrobacter aestuarii	Bacteria	25.0
Altererythrobacter aquaemixtae	Bacteria	24.0
Altererythrobacter atlanticus	Bacteria	28.0
Altererythrobacter confluentis	Bacteria	17.0
Altererythrobacter deserti	Bacteria	25.0
Altererythrobacter endophyticus	Bacteria	28.0
Altererythrobacter epoxidivorans	Bacteria	30.0
Altererythrobacter fulvus	Bacteria	30.0
Altererythrobacter gangjinensis	Bacteria	20.0
Altererythrobacter halimionae	Bacteria	28.0
Altererythrobacter indicus	Bacteria	32.0
Altererythrobacter lauratis	Bacteria	45.0
Altererythrobacter luteolus	Bacteria	20.0
Altererythrobacter luteolus	Bacteria	30.0
Altererythrobacter mangrovi	Bacteria	26.0
Altererythrobacter marensis	Bacteria	28.0
Altererythrobacter marinus	Bacteria	26.0
Altererythrobacter namhicola	Bacteria	26.0
Altererythrobacter palmitatis	Bacteria	45.0
Altererythrobacter rigui	Bacteria	21.0
Altererythrobacter salegens	Bacteria	23.0
Altererythrobacter sediminis	Bacteria	29.0
Altererythrobacter soli	Bacteria	21.0
Altererythrobacter sp.	Bacteria	25.0
Altererythrobacter sp.	Bacteria	28.0
Altererythrobacter sp.	Bacteria	35.0
Altererythrobacter troitsensis	Bacteria	22.0
Altererythrobacter xinjiangensis	Bacteria	29.0
Altererythrobacter xixiisoli	Bacteria	24.0
Alteribacillus alkaliphilus	Bacteria	35.0
Alteribacillus bidgolensis	Bacteria	30.0
Alteribacillus iranensis	Bacteria	30.0
Alteribacillus persepolensis	Bacteria	35.0
Alterococcus agarolyticus	Bacteria	45.0
Alteromonas addita	Bacteria	25.0
Alteromonas aestuariivivens	Bacteria	30.0
Alteromonas alvinellae	None	25.0
Alteromonas australica	Bacteria	25.0
Alteromonas genovensis	Bacteria	28.0
Alteromonas hispanica	Bacteria	22.0
Alteromonas lipolytica	Bacteria	29.0
Alteromonas litorea	Bacteria	27.0
Alteromonas macleodii	Bacteria	20.0
Alteromonas macleodii	Bacteria	22.0
Alteromonas macleodii	Bacteria	26.0
Alteromonas macleodii	Bacteria	28.0
Alteromonas marina	Bacteria	28.0
Alteromonas marina	Bacteria	30.0
Alteromonas mediterranea	Bacteria	20.0
Alteromonas mediterranea	Bacteria	22.0
Alteromonas mediterranea	Bacteria	30.0
Alteromonas nigrifaciens	Bacteria	25.0
Alteromonas nigrifaciens	Bacteria	26.0
Alteromonas oceani	Bacteria	4.0
Alteromonas pelagimontana	Bacteria	35.0
Alteromonas simiduii	Bacteria	28.0
Alteromonas sp.	Bacteria	22.0
Alteromonas sp.	Bacteria	24.0
Alteromonas sp.	Bacteria	25.0
Alteromonas sp.	Bacteria	28.0
Alteromonas stellipolaris	Bacteria	20.0
Alteromonas tagae	Bacteria	28.0
Alysiella crassa	Bacteria	37.0
Alysiella filiformis	Bacteria	37.0
Amantichitinum ursilacus	Bacteria	28.0
